ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,75,SAN FRANCISCO TLALCHILPA,PUEBLO,50400
15,75,RINCON DE LOS PIRULES,PUEBLO,50640
15,75,SANTA RITA DE LA CUESTA,PUEBLO,50640
15,93,ATLATONGO,PUEBLO,55834
15,2,CENTRO,COLONIA,55870
15,2,SANTA CATARINA,COLONIA,55875
15,2,TEPEXPAN CENTRO,PUEBLO,55885
15,2,LA LOLA,UNIDAD HABITACIONAL,55885
15,109,TRIGOTENCO,COLONIA,54962
15,2,GRANJAS FAMILIARES,COLONIA,55874
15,2,LAGUNILLA,UNIDAD HABITACIONAL,55885
15,2,CHIMALPA,COLONIA,55885
15,109,XACOPINCA,COLONIA,54962
15,71,LOS REYES,FRACCIONAMIENTO,56400
15,25,EL SABINO,BARRIO,54840
15,109,SAN MARTIN CALVARIO,BARRIO,54963
15,109,SAN JUAN XOCOTLA,BARRIO,54960
15,2,CUANALAN,COLONIA,55886
15,109,SAN RAFAEL,BARRIO,54960
15,2,TETEXCALA,COLONIA,55886
15,109,TLALMELACA,PUEBLO,54960
15,119,EL BARRIAL,PUEBLO,51360
15,119,SAN PEDRO TEJALPA,PUEBLO,51383
15,119,PROGRESO,PUEBLO,51383
15,2,SAN FRANCISCO ZACANGO,PUEBLO,55899
15,119,LOMA DE SAN FRANCISCO,PUEBLO,51367
15,109,SAN ANTONIO XAHUENTO,COLONIA,54960
15,2,PILARES,COLONIA,55890
15,119,MORELOS,COLONIA,51370
15,25,XHALA,FRACCIONAMIENTO,54714
15,119,SANTA CRUZ CUAUHTENCO,FRACCIONAMIENTO,51370
15,109,VICENTE SUAREZ,COLONIA,54960
15,109,SAN ANTONIO EL CUADRO,BARRIO,54963
15,119,SAN JUAN DE LAS HUERTAS,PUEBLO,51370
15,109,CENTRO,COLONIA,54960
15,11,SANTA GERTRUDIS,COLONIA,56300
15,109,EL CARMEN,BARRIO,54960
15,11,PBLO SAN FRANCISCO  ACUEXCOMAC - COL LA NORIA,BARRIO,56300
15,11,PBLO SAN FRANCISCO  ACUEXCOMAC - COL EL POTRERO,BARRIO,56300
15,11,SAN FRANCISCO ACUEXCOMAC,PUEBLO,56300
15,109,SANTA ISABEL,BARRIO,54964
15,11,SAN SALVADOR ACUEXCOMAC - ACUEXCOMAC,EJIDO,56300
15,109,SAN MIGUEL OTLICA,COLONIA,54964
15,25,JOAQUIN LOPEZ NEGRETE,COLONIA,54713
15,29,SAN FRANCISCO,BARRIO,56030
15,31,SAN MIGUEL,BARRIO,56270
